Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"Nala Street,Duduza,Duduza",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Flamingo Street,Duduza,Duduza",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Nala Street,Duduza,Duduza",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Flamingo Street,Duduza,Duduza",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"25 VAN BUUREN ROAD,Oriel,Bedfordview",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Cnr Smith and Kirby Road,Bedford Gardens,Bedfordview",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop U28-30, Bedford Centre, Cnr Smith And Bradford Road,Bedford Gardens,Bedford Gardens",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"24 Voortrekker Street,New Redruth,New Redruth",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Cnr Cumberland And Allum Road,Kensington,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop U28-30, Bedford Centre, Cnr Smith And Bradford Road,Bedford Gardens,Bedford Gardens",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"cnr Ernest Oppenheimer Avenue and Marcia Street,Bruma,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Pick 'n Pay Head Office, cnr Allum Road and Langermann Drive,Kensington,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"910,550.00","5,600,000.00"
"Queen Street,Kensington,Johannesburg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Ring and Voortrekker Road,Arcon Park,Vereeniging",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 93a, Heidelberg Mall, Cnr Jacobs Street And Groenfontein Road,Heidelberg Central,Heidelberg Central",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Voortreker and Merz Street,Heidelberg Central,Heidelberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"The Victorian Shopping Centre, cnr Jordaan and Voortrekker Road,Heidelberg Central,Heidelberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"65 Romein Street,Rensburg,Heidelberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Protea Road,Lesedi Non Urban,Lesedi Nu",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"65 Romein Street,Rensburg,Heidelberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"cnr Voortreker and Merz Street,Heidelberg Central,Heidelberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"The Victorian Shopping Centre, cnr Jordaan and Voortrekker Road,Heidelberg Central,Heidelberg",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Shop 93a, Heidelberg Mall, Cnr Jacobs Street And Groenfontein Road,Heidelberg Central,Heidelberg Central",Johannesburg,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"910,550.00","5,600,000.00"
"Boulders Shopping Centre, 1685 Old Pretoria Road,Halfway House Estate,Halfway House Estate",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Boulders Shopping Centre, 1685 Old Pretoria Road,Halfway House Estate,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr Alexandra Avenue and Old Pretoria Road,Halfway House Estate,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr JHB and Alexander Road,Halfway House Estate,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Le Roux Avenue,Halfway House Estate,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Old Pretoria Road,Randjespark,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"State Artillery road,President Park AH,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"N1 Highway And New Road,Randjespark,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"N1 Highway And New Road,Erand Gardens,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Harry Gaulaun Drive,Vorna Valley,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Carlswald Lifestyle Centre, cnr New Rd and Harry Galau Street,Halfway Gardens,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Shop 16-17, San Ridge Square, Cnr New And Lever Roads,Midridge Park,Midridge Park",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Shop 1043, Mall Of Africa, Cnr Magwa And Karkloof Crescent,Waterfall City,Waterfall City",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Maxwell Drive,Waterfall City,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr Old Pretoria Road and Le Roux Avenue,Midrand Outlying,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"82 Vodacom Boulevard,Erand Gardens,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr Lever and Kiaat Road,Noordwyk,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Yarona Shopping Centre, 3115 Angelfish Street,Kaalfontein Ext 16,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"Cnr Rietduiker Road and Stilt Avenue,Rabie Ridge,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"Rietduiker Street,Rabie Ridge,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Modderfontein Road,Commercia,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Mayibuye Centre, cnr Masstiff and Moddertonein (M38) Road,Commercia,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Tembisa Mega Mart, cnr Algeria Road and Botswana Street,Tswelapele,Clayville",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr 2nd October and Marine,Ivory Park,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Cnr Main And Angelfish Street,Kaalfontein,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr Acacia and Bluegum Street,Ebony Park,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"cnr Bluegum and Acacia Street,Ebony Park,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"Busy Corner Mall, cnr Bluegum and Acacia Street,Ebony Park,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Busy Corner Mall, cnr Acacia Street and Main Road,Ebony Park,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Rietduiker Street,Rabie Ridge,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Cnr Rietduiker Road and Stilt Avenue,Rabie Ridge,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Mayibuye Centre, cnr Masstiff and Moddertonein (M38) Road,Commercia,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Yarona Shopping Centre, 3115 Angelfish Street,Kaalfontein Ext 16,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Modderfontein Road,Commercia,Midrand",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Tembisa Civic Centre,Igqagqa,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Tembi Mall, cnr George Nyanga and Sheba,Igqagqa,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"Tembi Mall, cnr George Nyanga and Sheba,Igqagqa,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr Hlahlandlela and Magubane Street,Endulweni,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"63 Emfihleweni Street,Emfihlweni,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"370 Reverend RTJ Namane Drive,Tlamatlama,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"5 Rocket Street,Sedibeng,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"63 Nyoni Street,Ecaleni,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"181,411.00","5,600,000.00"
"23 Flint Mazibuko Street,Tembisa,Tembisa",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"R21,Ekurhuleni Non Urban,Ekurhuleni Nu",Midrand,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"181,411.00","5,600,000.00"
"cnr Hendrik and Diederick Road,Wilgeheuwel,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Cnr Christaan de Wet and Hendrik Potgieter rd,Strubens Valley,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Shop Lm43, Clearwater Mall, Cnr Hendrik Potgieter (m47) And Christiaan De Wet Road,Strubens Valley,Strubens Valley",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"929 Christiaan de Wet Road,Strubens Valley,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Clearwater Office Park, Building 4, Cnr Christiaan De Wet And Millennium Boulevard,Strubens Valley,Strubens Valley",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"cnr Wilhelmina and Christiaan de Wet Road,Struben Ridge AH,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Hendrik Potgieter Road,Wilgeheuwel,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"cnr Jim Fouche and Piet Retief Road,Allens Nek,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Paul Kruger and Mozart Street,Honeydew Ridge,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Ou Klip Road and Wilgerood Street,Helderkruin,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"Christiaan De Wet Street,Weltevreden Park,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Cornelius and JG Strydom,Weltevreden Park,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Hendrik Potgieter Road,Hillfox,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"380 Ontdekkers Road,Florida Park,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"2nd Ave and Rustenburg Road,Discovery,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"14th Avenue,Constantia Kloof,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Constantia Drive,Constantia Kloof,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Cnr Ontdekkers Service Road And Crane Avenue,Horison Park,Horison Park",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"cnr Kingfisher and Pheasant,Helderkruin,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Hans Truter Road,Discovery,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Village @ Horison, 56 Sonop Street,Horison View,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Ouklip and Graphite Street,Wilro Park,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"Cnr Hendrik Potgieter and Peter,Willowbrook,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Hendrick Potgieter Drive,Willowbrook,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"82 Peter Road,Willowbrook,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Shop L25, Lower Level, Westgate Shopping Centre, 120 Westgate Road,Horison View,Horison View",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"120 Ontdekkers Road,Horison View,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"3 Blueberry Street,Honeydew,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"118 Main Reef Road,Roodepoort West,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"5 Bayers Naude Street,Five Star Drive In,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"64 Van Wyk Street,Roodepoort Central,Roodepoort Central",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Gordon Road and Lange Avenue,Florida Glen,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Fredenharry Street,Strubens Valley,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"cnr Hendrik and Diederick Road,Wilgeheuwel,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Cnr Christaan de Wet and Hendrik Potgieter rd,Strubens Valley,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"Shop Lm43, Clearwater Mall, Cnr Hendrik Potgieter (m47) And Christiaan De Wet Road,Strubens Valley,Strubens Valley",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"929 Christiaan de Wet Road,Strubens Valley,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Clearwater Office Park, Building 4, Cnr Christiaan De Wet And Millennium Boulevard,Strubens Valley,Strubens Valley",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"cnr Wilhelmina and Christiaan de Wet Road,Struben Ridge AH,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Hendrik Potgieter Road,Wilgeheuwel,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"cnr Jim Fouche and Piet Retief Road,Allens Nek,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Paul Kruger and Mozart Street,Honeydew Ridge,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Ou Klip Road and Wilgerood Street,Helderkruin,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"Christiaan De Wet Street,Weltevreden Park,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Unsafe,"326,416.00","5,600,000.00"
"cnr Cornelius and JG Strydom,Weltevreden Park,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Hendrik Potgieter Road,Hillfox,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"380 Ontdekkers Road,Florida Park,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"2nd Ave and Rustenburg Road,Discovery,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"14th Avenue,Constantia Kloof,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Constantia Drive,Constantia Kloof,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"Cnr Ontdekkers Service Road And Crane Avenue,Horison Park,Horison Park",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
"cnr Kingfisher and Pheasant,Helderkruin,Roodepoort",Roodepoort,Absa,Red,City of Johannesburg Metropolitan Municipality,Safe,"326,416.00","5,600,000.00"
